CustomerID;Name;Gender;Age;City;Signup_Date;Last_purchase_date; purchase_amount ;feedback_score;email;Phone_number;Phone_numbre_10_digits;Country
C196;Ravi;;58;Hyderabad;11/1/2023;;;1;;;;USA
;Pooja;;62;;25/10/2021;29/1/2023;1644.7;;user196@mail.com;;;India
;Ankit;;;Chennai;;;;10;;;;USA
C199;Simran;Female;;Delhi;24/5/2021;;;10;;;;UK
C200;Simran;Male;22;Pune;;;;4;user199@mail.com;;;
C201;Kiran;Male;;Mumbai;;4/5/2022;2647.56;1;user200@mail.com;;;India
;Ankit;Male;;Kolkata;;;709.67;1;;;;UK
C203;Ankit;Male;;Hyderabad;;7/2/2024;3829.56;;;;;
;Sneha;Male;;Hyderabad;;;;;user203@mail.com;;;USA
C205;;Female;;Mumbai;21/12/2025;;;5;user204@mail.com;9791865466;9791865466;
C206;Priya;Male;;Pune;;;;2;;;;UK
C207;Simran;Male;;Kolkata;24/8/2024;;;1;;;;Australia
C208;Sneha;;70;Ahmedabad;16/2/2023;30/11/2021;;1;;;;Canada
C209;Pooja;Female;28;Chennai;;26/7/2021;;10;;93966469;0093966469;
C210;;Female;;Kolkata;;;;10;;;;USA
C211;Sneha;Female;;Hyderabad;27/1/2023;;;10;user210@mail.com;927615532;0927615532;
;Ankit;Male;68;;;;;;;984622586;0984622586;Australia
C213;;Male;;Mumbai;;;;;user212mail.com;955365883;0955365883;
C214;Kiran;Male;;Bangalore;3/11/2020;;;;;;;Australia
C215;;Male;;Hyderabad;;28/5/2025;;;user214@mail.com;941632753;0941632753;Australia
;;Male;;Ahmedabad;19/2/2022;22/6/2025;;10;user215@mail.com;;;USA
C217;Pooja;Female;;Pune;20/8/2020;;3742.84;;;;;Canada
;Ankit;Female;;Ahmedabad;8/11/2023;;;;user217@mail.com;9811991281;9811991281;Australia
C219;;Female;30;Ahmedabad;4/8/2021;14/1/2021;;2;user218mail.com;9917761214;9917761214;
C220;Amit;Male;65;Ahmedabad;;;909.91;1;;;;
;Priya;Male;;Ahmedabad;13/9/2024;;;;user220mail.com;;;Canada
C222;Ravi;Male;;Mumbai;26/4/2021;;3141.85;;user221mail.com;;;
C223;Kiran;Male;;Delhi;;11/8/2024;4163.86;1;;;;India
;;Female;18;Kolkata;;24/5/2024;4036.77;3;;997728316;0997728316;
C225;Ravi;Male;;Bangalore;3/3/2025;12/12/2023;;3;;;;UK
C226;Amit;Male;;;;16/2/2021;1994.89;10;;;;Australia
;Kiran;Female;;Pune;9/8/2020;;;10;;;;Canada
C228;Pooja;Male;45;Kolkata;7/10/2024;14/6/2024;;10;;988644184;0988644184;UK
C229;Simran;Female;;Delhi;27/1/2023;;;;user228mail.com;;;
;Amit;Female;;Mumbai;;15/5/2021;;10;user229@mail.com;;;UK
C231;;Male;50;Delhi;;;;;user230@mail.com;;;USA
C232;;Female;;Bangalore;28/12/2020;;;4;;;;Australia
C233;Neha;Male;31;Mumbai;28/3/2023;26/12/2023;;1;user232mail.com;;;USA
C234;;Female;;Bangalore;28/12/2025;;;4;user233@mail.com;;;Canada
C235;Ravi;Male;;Bangalore;;5/3/2022;;10;user234@mail.com;929291513;0929291513;Australia
C236;Ravi;Female;;Bangalore;;;1413.4;2;;;;USA
C237;Ankit;Male;;Mumbai;25/6/2025;;;4;;;;USA
;;Male;;;;;1385.67;3;;977836199;0977836199;Canada
;;;;Pune;;;;3;user238mail.com;;;India
C240;Sneha;Male;64;Mumbai;;27/3/2024;;10;;;;USA
C241;;Male;;Ahmedabad;;;;10;user240mail.com;;;UK
C242;Pooja;Male;;;;29/2/2024;;5;;;;UK
C243;Neha;Female;;Bangalore;2/2/2021;27/7/2025;4995.66;1;user242mail.com;;;
C244;Kiran;Male;;Ahmedabad;6/8/2022;;;10;;;;Australia
C245;Amit;;;Bangalore;13/12/2021;;;1;;;;Canada
C246;Ankit;Female;;;12/9/2023;26/12/2022;;10;user245mail.com;;;Canada
C247;Ankit;Female;;Pune;15/12/2022;;;1;;916769738;0916769738;India
C248;;Male;;Delhi;;4/3/2024;;10;user247mail.com;;;India
;Kiran;Female;;Kolkata;;;;10;;;;
C250;Rahul;Female;;Mumbai;14/8/2021;;4031.03;1;user249mail.com;9822824862;9822824862;Australia
C251;Ravi;Female;58;Mumbai;;6/5/2024;;1;user250mail.com;;;India
C252;Kiran;;;Delhi;16/1/2024;;;1;;;;USA
;Kiran;Female;;Ahmedabad;22/5/2023;;4376.34;1;;935869541;0935869541;India
C254;Simran;Female;;;;;3820.96;1;;928561651;0928561651;USA
C255;Ravi;Female;;Mumbai;8/6/2023;10/2/2022;;10;;;;Australia
;Pooja;Male;;;15/3/2024;2/5/2021;712.93;;;;;
;;Female;;Delhi;;;;10;;9868484957;9868484957;
C258;Sneha;Female;47;Bangalore;;;;;user257mail.com;;;UK
C259;Ravi;Female;;Hyderabad;;;;;;;;USA
C260;Neha;Male;;Pune;;;;10;user259@mail.com;;;UK
C261;Sneha;Male;;;10/4/2023;17/8/2022;2823.08;;;;;USA
C262;Neha;;;;11/4/2021;;1181.7;10;;;;Australia
;Priya;Male;;Delhi;;23/9/2021;2531.66;1;;;;India
;Neha;Female;69;Pune;;;;10;;;;Canada
C265;Ankit;Female;;Ahmedabad;5/3/2021;;;1;user264@mail.com;;;UK
C266;Neha;Male;;Pune;14/11/2022;;;1;user265mail.com;;;USA
C267;Ravi;;;Pune;;;;1;user266mail.com;;;Australia
C268;Kiran;Male;;Chennai;18/11/2025;;;1;;;;India
C269;;Female;;Delhi;4/4/2023;;;1;;;;Canada
C270;;Male;;Pune;;;;1;;;;USA
;Sneha;;;Bangalore;27/2/2023;30/6/2022;;1;;;;
C272;;Male;;Kolkata;4/10/2021;16/7/2023;;5;user271mail.com;;;UK
C273;Simran;;20;Hyderabad;;18/11/2023;2238.05;10;user272mail.com;;;India
C274;;Female;;Mumbai;27/5/2025;9/3/2021;2601;2;user273@mail.com;;;Australia
;Neha;Female;;Ahmedabad;16/2/2025;;993.15;2;;;;India
C276;Pooja;;;Pune;21/12/2024;7/3/2025;2368.71;;;;;USA
C277;Rahul;;37;Delhi;25/1/2022;;;10;user276@mail.com;932487983;0932487983;UK
C278;Pooja;Male;;;;;902.19;10;;9887534385;9887534385;India
C279;Pooja;Male;;Kolkata;;;;10;user278mail.com;;;USA
C280;Neha;Male;;Ahmedabad;;;2128.85;5;;;;Canada
C281;Rahul;Female;;Chennai;5/11/2024;;;4;user280@mail.com;;;Canada
C282;Kiran;Female;;Bangalore;;25/12/2020;4500.88;1;user281@mail.com;99458242;0099458242;UK
C283;;Male;51;Pune;1/11/2021;;;10;user282mail.com;;;
C284;Priya;;;Ahmedabad;;;;4;;;;Canada
C285;Amit;;;Delhi;13/10/2023;;2667.21;1;user284mail.com;;;UK
C286;Priya;Female;;Delhi;24/2/2025;;;1;;9741682924;9741682924;Australia
;Ravi;Male;;Pune;;;;;;;;Australia
;Simran;;;Pune;;14/1/2021;4204.21;10;user287@mail.com;;;Australia
C289;Amit;Female;;Pune;27/7/2024;;;1;;9451561433;9451561433;
;Simran;;40;Hyderabad;23/2/2025;;;;user289@mail.com;;;Australia
C291;;Male;;Hyderabad;;;4281.27;10;;;;USA
C292;Simran;Female;;;;;3142.21;1;;9569213258;9569213258;
;Ankit;Female;;Pune;;16/4/2023;;2;;;;India
C294;Rahul;Male;;Chennai;20/12/2022;;;1;user293mail.com;;;UK
C295;;Male;;Ahmedabad;;;;1;user294@mail.com;;;
;Simran;;;Delhi;11/7/2022;1/3/2025;2901.09;10;;9945374121;9945374121;UK
C297;Sneha;;26;Ahmedabad;;6/3/2025;;5;user296mail.com;;;USA
C298;Simran;Male;61;Delhi;27/2/2024;29/5/2024;;10;;;;USA
C299;Priya;Female;;Pune;26/7/2025;;280.11;4;user298mail.com;;;USA
;Pooja;;;Kolkata;2/12/2025;;;1;user299@mail.com;;;USA
C301;Amit;Male;;Chennai;;;1591.55;5;user300mail.com;;;Australia
C302;Amit;;41;Hyderabad;;;1593.53;1;user301mail.com;9533287625;9533287625;USA
C303;Amit;Female;52;Kolkata;7/7/2024;;;1;;;;USA
C304;Ankit;Female;64;Chennai;13/9/2024;;;1;;;;India
C305;Kiran;Male;;Chennai;4/8/2025;;;1;user304mail.com;;;
;Kiran;Female;70;Bangalore;8/11/2023;;;2;;;;
C307;Ankit;Male;;Chennai;26/12/2022;;;1;user306@mail.com;;;UK
C308;Amit;Male;;Ahmedabad;;;;1;user307mail.com;;;USA
C309;;Male;;Delhi;;;2403.96;1;user308mail.com;;;USA
C310;;Male;;Ahmedabad;26/2/2023;;;;user309@mail.com;;;India
C311;Ravi;Male;;Mumbai;;;;2;;;;India
;Priya;Male;28;Chennai;16/10/2021;9/4/2022;;10;;;;Canada
;Neha;;;Kolkata;;;;10;user312mail.com;9612916888;9612916888;India
C314;Simran;Male;;Mumbai;;;;3;user313@mail.com;;;USA
;Priya;Male;;;;;174.48;;;9234182935;9234182935;Canada
C316;Sneha;Male;;Chennai;;;;5;user315mail.com;;;Canada
C317;Kiran;Female;;Chennai;;;1677.55;1;user316mail.com;;;USA
C318;Ravi;Male;26;Mumbai;;4/4/2022;;1;;;;Australia
C319;Priya;;;;;;3555.67;;;913846997;0913846997;
C320;Amit;;;;30/4/2023;;;10;user319@mail.com;;;India
C321;;Male;;;26/4/2023;;;2;user320mail.com;;;India
C322;;;;Ahmedabad;16/12/2022;13/11/2023;;1;user321@mail.com;;;
;Priya;;;Chennai;;;;1;user322@mail.com;972387759;0972387759;Canada
C324;Neha;;;;15/11/2022;31/12/2024;;10;;927474264;0927474264;India
;;Male;;Pune;6/10/2020;18/10/2022;2294.07;10;;;;Australia
C326;Kiran;Female;;Pune;11/10/2022;;;10;;;;USA
C327;Neha;Male;;Mumbai;;;;5;user326@mail.com;994364996;0994364996;USA
C328;;Female;;Bangalore;27/3/2022;;;1;;;;India
C329;Amit;Male;;Pune;;;;;;;;USA
C330;Rahul;;67;Mumbai;;;;1;;;;USA
C331;Pooja;Female;;Kolkata;;;;3;;;;Canada
C332;Ravi;Male;;Bangalore;;;;1;;;;UK
;Pooja;Female;;Hyderabad;20/2/2025;;;10;;;;India
C334;Ankit;Female;;Bangalore;;;3467.58;2;user333@mail.com;97967128;0097967128;
C335;Pooja;Female;36;Kolkata;;;;;;;;Australia
C336;Kiran;Male;;Hyderabad;9/6/2021;;2013.93;2;user335mail.com;;;
C337;Ankit;Female;68;Chennai;;10/9/2020;;1;user336@mail.com;;;Australia
C338;Kiran;;;Mumbai;10/4/2023;;;;;;;Australia
C339;Rahul;Female;;Kolkata;;;;2;;;;USA
C340;;Female;;Kolkata;;;;1;user339@mail.com;;;USA
C341;Pooja;;;Hyderabad;;;;;;;;Canada
C342;Rahul;Female;;Chennai;25/11/2021;;;10;;9799951183;9799951183;UK
;Ankit;Female;;Hyderabad;;;;;;;;India
C344;Sneha;Female;;Hyderabad;;11/7/2025;;2;;;;Canada
C345;Pooja;Male;;Ahmedabad;;;;1;;;;UK
C346;Pooja;Female;;Bangalore;;3/5/2025;;;user345@mail.com;9368527784;9368527784;Canada
C347;;Male;67;Bangalore;11/7/2023;16/5/2025;;1;user346@mail.com;;;
C348;Amit;Male;;Kolkata;13/7/2021;;;4;;985218326;0985218326;Australia
C349;Ravi;;;Chennai;15/3/2021;3/4/2024;;4;;;;USA
C350;Ravi;Male;;Bangalore;;;4408.13;1;;948349485;0948349485;UK
;Sneha;Female;;Delhi;2/3/2025;;;1;user350mail.com;939625297;0939625297;
C352;Neha;Male;;Hyderabad;;;;10;;964972891;0964972891;UK
C353;Ankit;;;Bangalore;18/1/2026;;;10;;9983356733;9983356733;Australia
C354;Ravi;;;Chennai;;;;10;;;;Canada
C355;;Female;;Pune;;;2209.73;;user354@mail.com;;;Canada
C356;;Male;54;Chennai;22/7/2023;;;10;user355mail.com;;;India
C357;Ankit;Male;;Chennai;26/10/2025;;;10;;95449651;0095449651;USA
C358;Pooja;Female;;Bangalore;;6/9/2022;;1;;953116456;0953116456;Australia
C359;;Male;;Kolkata;;;;10;;981968265;0981968265;USA
;Priya;;53;;;4/12/2023;;;;;;USA
C361;Amit;Female;61;Kolkata;;8/12/2023;;10;;;;Canada
C362;;Female;;Hyderabad;21/7/2021;;3515.46;1;user361mail.com;964426628;0964426628;USA
C363;Simran;Male;;;8/12/2022;;4159.19;;;;;
C364;Neha;;;Ahmedabad;9/10/2021;;;10;user363@mail.com;9722372323;9722372323;USA
C365;Ravi;Male;;;21/12/2023;2/9/2025;;3;;;;
C366;Rahul;Male;;Bangalore;1/11/2021;;2390.33;3;;;;Australia
C367;Rahul;Male;;Bangalore;20/12/2023;;;1;;;;USA
C368;Ravi;;;Chennai;10/12/2020;;;10;;;;Canada
C369;;Female;;Hyderabad;;;;;;9679599583;9679599583;
C370;Rahul;Female;;Hyderabad;30/5/2021;27/11/2023;;10;;;;USA
C371;Ankit;Male;38;Kolkata;24/3/2025;;3489.73;10;;;;India
C372;Neha;Male;;Ahmedabad;;4/10/2025;;;;;;India
C373;Neha;;;Hyderabad;7/5/2025;;;10;user372@mail.com;;;Canada
;Amit;Male;;Ahmedabad;14/1/2021;26/10/2020;;1;user373mail.com;;;
;Pooja;Female;59;;;21/10/2024;;2;;;;Australia
;Simran;Female;;Ahmedabad;;;3757.79;1;;;;India
C377;Ravi;Male;;;27/6/2024;;;;;;;
C378;Kiran;Male;53;Bangalore;4/3/2023;23/9/2023;4732.23;1;;;;Australia
C379;Rahul;Female;21;Bangalore;21/1/2026;1/2/2024;4552.18;;;;;Australia
